ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,ARR_DELAY_MEAN,DEP_DELAY_MEAN,DAY_OF_WEEK,FLIGHT_ID
14679,"San Diego, CA",14107,"Phoenix, AZ",-5.1066666666666665,-0.09333333333333334,2,29147
14679,"San Diego, CA",14107,"Phoenix, AZ",-10.5,-2.0,3,29148
14679,"San Diego, CA",14570,"Reno, NV",5.916666666666667,7.75,1,29156
14679,"San Diego, CA",14570,"Reno, NV",2.9375,5.5625,3,29158
14679,"San Diego, CA",14683,"San Antonio, TX",-6.9,4.4,2,29164
14679,"San Diego, CA",14683,"San Antonio, TX",-8.2,2.2,7,29169
14679,"San Diego, CA",14771,"San Francisco, CA",12.916666666666666,18.61111111111111,3,29179
14679,"San Diego, CA",14869,"Salt Lake City, UT",-2.1666666666666665,-0.4722222222222222,3,29193
14679,"San Diego, CA",14869,"Salt Lake City, UT",7.2,10.857142857142858,4,29194
14679,"San Diego, CA",14893,"Sacramento, CA",-3.9047619047619047,1.6666666666666667,2,29199
14679,"San Diego, CA",15023,"Santa Rosa, CA",-17.25,-5.0,1,29212
14679,"San Diego, CA",15023,"Santa Rosa, CA",-7.6,-6.0,4,29215
14679,"San Diego, CA",15304,"Tampa, FL",-2.0,0.0,7,29224
14679,"San Diego, CA",15376,"Tucson, AZ",-10.375,-2.25,7,29231
14683,"San Antonio, TX",10397,"Atlanta, GA",12.885714285714286,24.34285714285714,5,29236
14683,"San Antonio, TX",10397,"Atlanta, GA",-16.65,-2.5,6,29237
14683,"San Antonio, TX",10821,"Baltimore, MD",-6.6,4.6,4,29249
14683,"San Antonio, TX",11057,"Charlotte, NC",-10.105263157894736,-3.263157894736842,1,29253
14683,"San Antonio, TX",11259,"Dallas, TX",-9.928571428571429,0.6785714285714286,6,29268
14683,"San Antonio, TX",11433,"Detroit, MI",-6.8,13.3,2,29285
14683,"San Antonio, TX",11540,"El Paso, TX",-3.8181818181818183,1.0,3,29293
14683,"San Antonio, TX",12191,"Houston, TX",2.272727272727273,4.909090909090909,7,29318
14683,"San Antonio, TX",12264,"Washington, DC",18.7,25.0,3,29321
14683,"San Antonio, TX",12264,"Washington, DC",-9.4,-5.6,6,29324
14683,"San Antonio, TX",12478,"New York, NY",-21.5,-5.0,1,29333
14683,"San Antonio, TX",12889,"Las Vegas, NV",-4.9523809523809526,3.6666666666666665,2,29341
14683,"San Antonio, TX",12892,"Los Angeles, CA",-0.5833333333333334,1.125,1,29347
14683,"San Antonio, TX",13198,"Kansas City, MO",-17.5,-4.75,1,29354
