date,Population,samplesize,rawpoll_clinton,rawpoll_trump
2016-09-28,lv,29262.16567591492,41.54232876712329,40.55634703196347
2016-09-29,lv,27291.82112463287,41.438721461187214,40.44027397260274
2016-09-30,lv,25409.03779129953,41.75666666666667,40.30310185185185
2016-10-01,lv,24314.549696061436,41.73718309859155,40.341314553990614
2016-10-02,lv,25582.568743680487,41.85579908675799,40.32579908675799
2016-10-03,lv,24077.340172251916,41.60783653846154,40.39225961538462
2016-10-04,lv,29897.44786260078,41.22505791505791,40.43478764478765
2016-10-05,lv,32485.662148315067,41.20509505703422,40.455209125475285
2016-10-06,lv,31962.816910219826,41.2285,40.41946153846153
2016-10-07,lv,31248.094687997607,41.31752895752896,40.15436293436293
2016-10-08,lv,34080.35183085475,41.441058394160585,40.13445255474453
2016-10-09,lv,34690.22802133094,41.47838129496403,40.160215827338135
2016-10-10,lv,44017.1208784738,41.50940199335548,40.10468438538206
2016-10-11,lv,45942.237545140466,41.52957516339869,40.119313725490194
2016-10-12,lv,40249.837545140464,41.49617940199336,40.10299003322259
2016-10-13,lv,38867.10421180713,41.56623333333334,39.960566666666665
2016-10-14,lv,36844.51106336474,41.61832740213523,39.84017793594306
2016-10-15,lv,36820.781139122315,41.59602150537635,40.3241935483871
2016-10-16,lv,36214.66288515406,41.616570397111914,40.321083032490975
2016-10-17,lv,44550.809710550886,41.63673780487805,40.8884756097561
2016-10-18,lv,52739.398996265176,41.82973890339426,41.15271540469974
2016-10-19,lv,50856.63947245565,41.771856763925726,41.19111405835544
2016-10-20,lv,64314.85531494649,42.2375321888412,41.491716738197425
2016-10-21,lv,63832.16190835308,42.29319383259912,41.4779295154185
2016-10-22,lv,65014.91984486102,42.45794759825328,41.35661572052402
2016-10-23,lv,63221.5051262463,42.28393162393163,41.44089743589743
2016-10-24,lv,72490.91941196058,42.462835538752365,41.54879017013233
2016-10-25,lv,77395.72179291297,42.47432013769363,41.772237521514626
2016-10-26,lv,79439.47615799234,42.52073253833049,41.843304940374786
2016-10-27,lv,81068.02853894471,42.59175585284281,42.13332775919732
2016-10-28,lv,88246.57734846852,42.77661858974359,42.13977564102564
2016-10-29,lv,90488.20115799233,42.78200642054574,42.14476725521669
2016-10-30,lv,111313.79520561139,42.879352517985616,42.240776978417266
2016-10-31,lv,103900.86584053202,42.78345736434109,42.26009302325581
2016-11-01,lv,121635.8301262463,42.857121212121214,42.37281818181818
2016-11-02,lv,107725.2845218507,42.69787931034483,42.320965517241376
2016-11-03,lv,88820.38074229693,42.5318410041841,42.10730125523013
2016-11-04,lv,74767.95693277312,42.33741935483871,41.63215053763441
2016-11-05,lv,60660.24026610644,41.96434640522876,41.41983660130719
2016-11-06,lv,67605.99502801121,41.983071672354946,41.36836177474403
2016-11-07,lv,20886.47619047619,40.230000000000004,39.47805555555556
