index,day,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,c_minus_t_raw,c_minus_t_adj
11,2015-12-19,41.7,33.8,40.07498,33.06032,7.900000000000006,7.014659999999999
12,2015-12-20,42.5,34.2,40.86942,33.48701,8.299999999999997,7.38241
13,2015-12-21,42.1,35.9,40.46344,35.21469,6.200000000000003,5.248750000000001
14,2015-12-22,42.1,36.2,40.45721,35.54269,5.899999999999999,4.914520000000003
15,2015-12-23,42.4,35.6,40.75249,34.96897,6.799999999999997,5.783520000000003
16,2015-12-24,43.2,34.0,41.5478,33.39547,9.200000000000003,8.15233
17,2015-12-25,42.8,34.8,41.14317,34.22219,8.0,6.92098
18,2015-12-26,42.6,34.9,40.93865,34.34912,7.700000000000003,6.589530000000003
19,2015-12-27,43.2,34.9,41.53489,34.37496,8.300000000000004,7.159929999999996
20,2015-12-28,38.0,41.0,36.33124,40.50216,-3.0,-4.170920000000002
21,2015-12-29,43.5,35.7,41.82758,35.22936,7.799999999999997,6.598219999999998
22,2015-12-30,42.6,35.2,40.92393,34.75656,7.399999999999999,6.167369999999998
23,2015-12-31,42.8,35.6,41.12028,35.18376,7.199999999999996,5.936520000000002
24,2016-01-01,41.8,36.4,40.11739,36.00981,5.399999999999999,4.107579999999999
25,2016-01-02,41.9,36.6,40.21469,36.2342,5.299999999999997,3.980489999999996
26,2016-01-03,40.1,38.1,38.41105,37.75917,2.0,0.6518800000000056
27,2016-01-04,41.2,38.1,39.50578,37.78483,3.1000000000000014,1.720950000000002
28,2016-01-05,41.6,36.9,39.90166,36.60923,4.700000000000003,3.292430000000003
29,2016-01-06,42.6,35.6,40.89772,35.33364,7.0,5.564079999999997
30,2016-01-07,43.1,34.9,41.39394,34.65771,8.200000000000003,6.736229999999999
31,2016-01-08,44.9,34.9,43.18899,34.68298,10.0,8.506009999999996
32,2016-01-09,43.9,35.6,42.18397,35.40778,8.299999999999997,6.77619
33,2016-01-10,43.5,36.4,41.77744,36.23294,7.100000000000001,5.544499999999999
34,2016-01-11,43.7,37.1,41.97243,36.95761,6.600000000000001,5.01482
35,2016-01-12,44.7,35.7,42.96768,35.58157,9.0,7.386110000000002
36,2016-01-13,44.4,34.8,42.6636,34.70544,9.600000000000001,7.9581599999999995
37,2016-01-14,43.6,35.6,41.8583,35.53011,8.0,6.328189999999999
